Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Malawi,MWI,1659.95933825168
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Malaysia,MYS,32129.2217820113
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Maldives,MDV,21357.8112511153
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Mali,MLI,2813.81095962843
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Malta,MLT,56841.8933687311
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Marshall Islands,MHL,6936.86510911803
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Mauritania,MRT,6053.26178155509
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Mauritius,MUS,25085.9891959451
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Mexico,MEX,21391.8573692427
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Micronesia, Fed. Sts."",FSM,3814.99076486823"
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Moldova,MDA,15358.0153548867
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Monaco,MCO,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Mongolia,MNG,15310.4349469163
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Montenegro,MNE,25583.3675663587
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Morocco,MAR,8690.4482421875
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Mozambique,MOZ,1476.66560298097
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Myanmar,MMR,5350.47666899931
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Namibia,NAM,9953.09752403491
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Nauru,NRU,12363.6457029853
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Nepal,NPL,4763.38751073946
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Netherlands,NLD,71324.0360349277
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,New Caledonia,NCL,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,New Zealand,NZL,49964.1765523158
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Nicaragua,NIC,7277.82264804562
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Niger,NER,1717.51891457684
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Nigeria,NGA,7752.26206532009
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,North Macedonia,MKD,22822.2888086275
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Northern Mariana Islands,MNP,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Norway,NOR,91051.0831968407
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Oman,OMN,39780.2122774985
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Pakistan,PAK,5526.27928310213
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Palau,PLW,16040.9080564681
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Panama,PAN,33915.1526066674
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Papua New Guinea,PNG,4125.49303365201
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Paraguay,PRY,15259.1456311862
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Peru,PER,15559.821643644
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Philippines,PHL,9457.10395402883
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Poland,POL,43405.0215797441
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Portugal,PRT,41070.861152974
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Puerto Rico (US),PRI,42310.9585064702
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Qatar,QAT,114740.16518158
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Romania,ROU,39256.9630375885
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Russian Federation,RUS,38214.49609375
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Rwanda,RWA,2892.45964942821
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Samoa,WSM,6449.36505263744
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,San Marino,SMR,70887.573899815
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Sao Tome and Principe,STP,5632.13890715047
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Saudi Arabia,SAU,67178.5902274906
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Senegal,SEN,4228.73382642974
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Serbia,SRB,24651.8861871409
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Seychelles,SYC,27978.1770550937
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Sierra Leone,SLE,2934.73326430435
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Singapore,SGP,133571.962410322
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Sint Maarten (Dutch part),SXM,45515.6523389272
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Slovak Republic,SVK,38664.9076949851
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Slovenia,SVN,47050.0676441642
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Solomon Islands,SLB,2330.10309195408
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Somalia, Fed. Rep."",SOM,1387.54753732191"
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,South Africa,ZAF,13767.4967589936
