Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Korea, Rep."",KOR,6.638"
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Kosovo,XKX,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Kuwait,KWT,15.502
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Kyrgyz Republic,KGZ,8.244
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Lao PDR,LAO,2.184
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Latvia,LVA,15.27
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Lebanon,LBN,23.612
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Lesotho,LSO,25.01
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Liberia,LBR,2.205
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Libya,LBY,50.661
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Liechtenstein,LIE,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Lithuania,LTU,11.873
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Luxembourg,LUX,17.599
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Macao SAR, China"",MAC,7.143"
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Madagascar,MDG,5.602
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Malawi,MWI,6.769
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Malaysia,MYS,12.269
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Maldives,MDV,14.956
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Mali,MLI,3.178
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Malta,MLT,8.24
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Marshall Islands,MHL,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Mauritania,MRT,23.596
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Mauritius,MUS,21.805
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Mexico,MEX,6.465
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Micronesia, Fed. Sts."",FSM,.."
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Moldova,MDA,2.855
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Monaco,MCO,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Mongolia,MNG,11.555
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Montenegro,MNE,30.306
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Morocco,MAR,22.976
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Mozambique,MOZ,7.459
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Myanmar,MMR,10.061
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Namibia,NAM,38.112
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Nauru,NRU,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Nepal,NPL,20.836
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Netherlands,NLD,7.643
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,New Caledonia,NCL,33.324
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,New Zealand,NZL,9.353
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Nicaragua,NIC,9.565
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Niger,NER,0.414
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Nigeria,NGA,6.01
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,North Macedonia,MKD,32.595
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Northern Mariana Islands,MNP,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Norway,NOR,9.899
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Oman,OMN,14.983
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Pakistan,PAK,9.749
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Palau,PLW,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Panama,PAN,19.186
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Papua New Guinea,PNG,3.811
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Paraguay,PRY,14.601
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Peru,PER,8.019
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Philippines,PHL,6.813
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Poland,POL,10.55
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Portugal,PRT,19.054
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Puerto Rico (US),PRI,13.599
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Qatar,QAT,0.559
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Romania,ROU,22.871
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Russian Federation,RUS,14.388
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Rwanda,RWA,22.203
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Samoa,WSM,13.245
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,San Marino,SMR,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Sao Tome and Principe,STP,8.463
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Saudi Arabia,SAU,15.964
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Senegal,SEN,3.915
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Serbia,SRB,23.214
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Seychelles,SYC,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Sierra Leone,SLE,3.5
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Singapore,SGP,7.924
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Sint Maarten (Dutch part),SXM,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Slovak Republic,SVK,19.924
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Slovenia,SVN,10.14
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Solomon Islands,SLB,2.967
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Somalia, Fed. Rep."",SOM,33.988"
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,South Africa,ZAF,61.115
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,South Sudan,SSD,18.653
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Spain,ESP,29.852
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Sri Lanka,LKA,21.732
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,St. Kitts and Nevis,KNA,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,St. Lucia,LCA,30.854
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,St. Martin (French part),MAF,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,St. Vincent and the Grenadines,VCT,43.69
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Sudan,SDN,12
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Suriname,SUR,26.163
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Sweden,SWE,21.607
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Switzerland,CHE,6.842
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Syrian Arab Republic,SYR,31.788
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Tajikistan,TJK,26.746
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Tanzania,TZA,3.329
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Thailand,THA,5.208
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Timor-Leste,TLS,3.212
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Togo,TGO,3.418
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Tonga,TON,6.621
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Trinidad and Tobago,TTO,10.596
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Tunisia,TUN,37.826
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Turkiye,TUR,19.289
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Turkmenistan,TKM,9.109
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Turks and Caicos Islands,TCA,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Tuvalu,TUV,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Uganda,UGA,4.315
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Ukraine,UKR,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,United Arab Emirates,ARE,9.992
